CustomerID,CustomerName,Gender,Age,CustomerSegment,City,Province,Country,JoinDate
C00061,Alexander Evans,Non-binary,61,Consumer,Red Deer,Alberta,Canada,2023-07-31
C00062,David Morgan,Non-binary,33,Small Business,St. John's,Newfoundland and Labrador,Canada,2023-04-07
C00063,Isaac Stewart,Male,45,Corporate,Lethbridge,Alberta,Canada,2023-06-24
C00064,Ethan Clarke,Female,26,Consumer,Saskatoon,Saskatchewan,Canada,2022-06-06
C00065,Wyatt Hughes,Male,55,Consumer,Winnipeg,Manitoba,Canada,2023-03-05
C00066,Audrey Singh,Non-binary,26,Consumer,Saskatoon,Saskatchewan,Canada,2024-04-02
C00067,Henry Brown,Male,31,Consumer,Gatineau,Quebec,Canada,2024-10-01
C00068,Chloe Wilson,Non-binary,36,Small Business,Richmond,British Columbia,Canada,2024-12-04
C00069,Scarlett Morgan,Male,63,Consumer,Red Deer,Alberta,Canada,2022-06-26
C00070,Alexander Nguyen,Non-binary,42,Consumer,Regina,Saskatchewan,Canada,2023-10-02
C00071,David Tremblay,Male,33,Consumer,Charlottetown,Prince Edward Island,Canada,2022-01-12
C00072,Owen Patel,Female,28,Corporate,Calgary,Alberta,Canada,2024-03-19
C00073,Sophia Anderson,Male,39,Consumer,Surrey,British Columbia,Canada,2022-02-19
C00074,Mateo Brown,Male,44,Small Business,Brandon,Manitoba,Canada,2023-01-02
C00075,Charlotte Reid,Non-binary,33,Consumer,Saskatoon,Saskatchewan,Canada,2023-10-10
C00076,Harper Roy,Non-binary,35,Consumer,Laval,Quebec,Canada,2022-04-03
C00077,Noah Nguyen,Male,24,Consumer,Calgary,Alberta,Canada,2024-04-26
C00078,Henry Gagnon,Male,32,Consumer,Corner Brook,Newfoundland and Labrador,Canada,2023-07-14
C00079,Harper Evans,Female,35,Consumer,Calgary,Alberta,Canada,2024-12-27
C00080,Mason Anderson,Female,52,Consumer,Brandon,Manitoba,Canada,2024-11-23
C00081,Sofia Lee,Male,36,Consumer,Surrey,British Columbia,Canada,2023-08-31
C00082,Daniel Tremblay,Male,31,Consumer,London,Ontario,Canada,2024-02-03
C00083,Owen Bélanger,Female,20,Corporate,Longueuil,Quebec,Canada,2023-03-04
C00084,Riley Miller,Non-binary,40,Consumer,Sydney,Nova Scotia,Canada,2023-01-16
C00085,Isaac Lee,Female,22,Consumer,Burnaby,British Columbia,Canada,2024-05-15
C00086,Daniel Roy,Female,19,Consumer,Brandon,Manitoba,Canada,2023-02-11
C00087,Mason Roy,Female,22,Consumer,Sydney,Nova Scotia,Canada,2024-03-22
C00088,Julian Hughes,Non-binary,30,Consumer,Moncton,New Brunswick,Canada,2023-03-10
C00089,Mason Khan,Male,39,Consumer,Regina,Saskatchewan,Canada,2022-05-02
C00090,Aria Bouchard,Female,18,Consumer,Winnipeg,Manitoba,Canada,2022-01-19
C00091,Daniel Dubois,Female,66,Consumer,Gatineau,Quebec,Canada,2024-07-27
C00092,Harper Morgan,Non-binary,66,Consumer,St. John's,Newfoundland and Labrador,Canada,2024-07-31
C00093,Sophia Anderson,Female,52,Consumer,Charlottetown,Prince Edward Island,Canada,2022-04-02
C00094,Avery Tremblay,Male,37,Consumer,Calgary,Alberta,Canada,2024-10-16
C00095,Lily Stewart,Female,37,Consumer,Charlottetown,Prince Edward Island,Canada,2023-11-27
C00096,Mateo Bouchard,Non-binary,46,Corporate,Surrey,British Columbia,Canada,2022-10-23
C00097,Hudson Evans,Non-binary,34,Consumer,Corner Brook,Newfoundland and Labrador,Canada,2023-07-04
C00098,Hudson Morgan,Female,33,Small Business,St. John's,Newfoundland and Labrador,Canada,2022-12-09
C00099,Nora Harris,Non-binary,28,Consumer,Calgary,Alberta,Canada,2024-07-05
C00100,Noah Chen,Female,31,Consumer,Gatineau,Quebec,Canada,2024-06-15
C00101,David Fournier,Female,18,Consumer,St. John's,Newfoundland and Labrador,Canada,2022-09-25
C00102,Chloe Anderson,Female,26,Consumer,Longueuil,Quebec,Canada,2022-10-31
C00103,Owen Reid,Female,38,Consumer,Longueuil,Quebec,Canada,2023-03-11
C00104,Violet Bélanger,Male,65,Small Business,Winnipeg,Manitoba,Canada,2022-08-16
C00105,Hudson Lee,Female,18,Small Business,Saint John,New Brunswick,Canada,2024-06-03
C00106,Michael Patel,Male,47,Small Business,Winnipeg,Manitoba,Canada,2023-12-21
C00107,Zoey Côté,Female,21,Consumer,Regina,Saskatchewan,Canada,2022-04-14
C00108,Riley Scott,Non-binary,48,Consumer,Guelph,Ontario,Canada,2023-08-08
C00109,Emma Lefebvre,Male,20,Corporate,Longueuil,Quebec,Canada,2024-01-01
C00110,Amelia Lefebvre,Male,50,Consumer,Brandon,Manitoba,Canada,2022-12-04
C00111,Grace Turner,Female,36,Corporate,St. John's,Newfoundland and Labrador,Canada,2024-08-08
C00112,Evelyn Nguyen,Male,41,Consumer,Moncton,New Brunswick,Canada,2023-05-12
C00113,Owen Hall,Male,61,Consumer,Calgary,Alberta,Canada,2024-05-02
C00114,Lily Nguyen,Female,44,Small Business,Brandon,Manitoba,Canada,2022-05-17
C00115,Ethan Walker,Non-binary,43,Consumer,Longueuil,Quebec,Canada,2024-08-02
C00116,Ella MacDonald,Male,59,Small Business,Saint John,New Brunswick,Canada,2022-09-12
C00117,Noah Wilson,Female,49,Corporate,Saint John,New Brunswick,Canada,2024-07-26
C00118,Evelyn Singh,Male,26,Consumer,Saskatoon,Saskatchewan,Canada,2024-11-18
C00119,Abigail Martin,Male,33,Small Business,Halifax,Nova Scotia,Canada,2022-11-26
C00120,Benjamin Martin,Non-binary,25,Consumer,Saskatoon,Saskatchewan,Canada,2024-05-23
C00121,Avery Young,Non-binary,48,Consumer,Sydney,Nova Scotia,Canada,2023-11-08
C00122,Emma Khan,Female,34,Consumer,Winnipeg,Manitoba,Canada,2023-12-11
C00123,Isabella Khan,Male,37,Consumer,Red Deer,Alberta,Canada,2024-09-23
C00124,Scarlett Tremblay,Non-binary,44,Consumer,St. John's,Newfoundland and Labrador,Canada,2023-10-22
C00125,Hudson Nguyen,Female,46,Corporate,Sydney,Nova Scotia,Canada,2023-05-10
C00126,Zoey Brown,Non-binary,35,Small Business,Moncton,New Brunswick,Canada,2022-12-10
C00127,Aria Brown,Female,32,Consumer,Regina,Saskatchewan,Canada,2023-08-16
C00128,Evelyn Anderson,Non-binary,43,Small Business,Brandon,Manitoba,Canada,2024-08-17
C00129,Riley Hughes,Male,51,Consumer,Halifax,Nova Scotia,Canada,2023-09-09
C00130,Mason Wilson,Female,53,Consumer,Fredericton,New Brunswick,Canada,2022-05-16
C00131,James Hall,Male,36,Corporate,Saint John,New Brunswick,Canada,2023-09-18
C00132,Ethan Fournier,Female,36,Consumer,Surrey,British Columbia,Canada,2024-06-08
C00133,Aria Nguyen,Male,35,Consumer,Winnipeg,Manitoba,Canada,2022-08-23
C00134,Noah Clarke,Male,34,Consumer,St. John's,Newfoundland and Labrador,Canada,2023-11-02
C00135,Michael Khan,Male,49,Small Business,Saint John,New Brunswick,Canada,2023-02-06
C00136,Nathan Thomas,Female,25,Consumer,St. John's,Newfoundland and Labrador,Canada,2022-01-01
C00137,Sophia Khan,Female,49,Consumer,Saint John,New Brunswick,Canada,2022-06-06
C00138,Evelyn Tremblay,Female,18,Consumer,Fredericton,New Brunswick,Canada,2023-03-02
C00139,Chloe Martin,Female,18,Consumer,Corner Brook,Newfoundland and Labrador,Canada,2022-08-03
C00140,David Hughes,Female,47,Consumer,Kelowna,British Columbia,Canada,2022-09-01
C00141,Nora Johnson,Non-binary,47,Consumer,Moncton,New Brunswick,Canada,2023-02-11
C00142,Aria Chen,Female,43,Small Business,Fort McMurray,Alberta,Canada,2024-07-13
C00143,Liam Scott,Female,18,Consumer,Corner Brook,Newfoundland and Labrador,Canada,2022-11-07
C00144,Isaac Gagnon,Female,34,Consumer,St. John's,Newfoundland and Labrador,Canada,2023-11-14
C00145,Michael Anderson,Female,48,Small Business,Toronto,Ontario,Canada,2022-05-26
C00146,Leo Scott,Male,23,Consumer,Saskatoon,Saskatchewan,Canada,2022-05-25
C00147,Joseph Stewart,Female,30,Consumer,Windsor,Ontario,Canada,2024-02-06
C00148,Hannah Scott,Female,46,Consumer,Fredericton,New Brunswick,Canada,2022-06-24
C00149,Riley Clarke,Female,45,Consumer,Sydney,Nova Scotia,Canada,2024-03-07
C00150,James Lefebvre,Female,18,Consumer,Sydney,Nova Scotia,Canada,2022-10-20
C00151,Nora Wong,Female,39,Consumer,Winnipeg,Manitoba,Canada,2024-07-06
C00152,Amelia Lefebvre,Female,51,Consumer,Edmonton,Alberta,Canada,2022-09-13
C00153,Grace MacDonald,Male,32,Small Business,Winnipeg,Manitoba,Canada,2022-05-14
C00154,Zoey Lefebvre,Non-binary,58,Consumer,Lethbridge,Alberta,Canada,2023-08-25
C00155,Samuel Roy,Non-binary,18,Consumer,Halifax,Nova Scotia,Canada,2024-11-11
C00156,Amelia Tremblay,Non-binary,23,Consumer,Toronto,Ontario,Canada,2023-09-07
C00157,Mia Wong,Male,55,Small Business,Saskatoon,Saskatchewan,Canada,2023-08-04
C00158,Sophia Wilson,Male,49,Consumer,Corner Brook,Newfoundland and Labrador,Canada,2023-02-18
C00159,Liam Scott,Non-binary,41,Small Business,Regina,Saskatchewan,Canada,2022-01-11
C00160,David Wilson,Female,43,Consumer,Winnipeg,Manitoba,Canada,2023-11-07
C00161,Daniel Clarke,Female,18,Consumer,Lethbridge,Alberta,Canada,2023-05-28
C00162,Daniel Scott,Male,51,Consumer,Moncton,New Brunswick,Canada,2022-03-24
C00163,Ella Reid,Male,32,Consumer,Regina,Saskatchewan,Canada,2022-01-15
C00164,Noah Clarke,Female,43,Small Business,Halifax,Nova Scotia,Canada,2022-11-19
C00165,Michael Chen,Male,60,Consumer,Kitchener,Ontario,Canada,2022-06-04
C00166,Benjamin Patel,Non-binary,18,Consumer,Brandon,Manitoba,Canada,2023-09-08
C00167,Zoey Chen,Male,49,Small Business,Regina,Saskatchewan,Canada,2024-06-10
C00168,Evelyn Martin,Non-binary,46,Small Business,Montreal,Quebec,Canada,2024-05-15
C00169,James Johnson,Male,36,Consumer,Saint John,New Brunswick,Canada,2024-04-06
C00170,Henry Miller,Male,51,Consumer,Moncton,New Brunswick,Canada,2023-07-09
C00171,Olivia Scott,Non-binary,31,Small Business,Charlottetown,Prince Edward Island,Canada,2023-11-18
C00172,Alexander Bouchard,Male,18,Consumer,Charlottetown,Prince Edward Island,Canada,2023-01-17
C00173,Owen Côté,Male,33,Small Business,Lethbridge,Alberta,Canada,2023-09-21
C00174,Lucas Chen,Male,18,Consumer,Saskatoon,Saskatchewan,Canada,2023-08-25
C00175,Scarlett Johnson,Female,45,Consumer,Quebec City,Quebec,Canada,2023-06-27
C00176,William Clarke,Male,24,Corporate,Moncton,New Brunswick,Canada,2023-08-12
C00177,James Brown,Male,45,Consumer,Fort McMurray,Alberta,Canada,2024-02-01
C00178,Audrey Gagnon,Male,38,Consumer,Charlottetown,Prince Edward Island,Canada,2022-09-06
C00179,Ella Anderson,Non-binary,58,Consumer,Moncton,New Brunswick,Canada,2024-04-23
C00180,Mia Hughes,Female,37,Consumer,Charlottetown,Prince Edward Island,Canada,2023-09-06
C00181,Alexander Patel,Male,43,Consumer,Fort McMurray,Alberta,Canada,2024-07-15
C00182,Sofia MacDonald,Non-binary,36,Small Business,Moncton,New Brunswick,Canada,2024-12-22
C00183,William Martin,Male,18,Small Business,Lethbridge,Alberta,Canada,2022-02-14
C00184,Ella Chen,Male,36,Consumer,London,Ontario,Canada,2023-07-22
C00185,Julian Harris,Female,36,Corporate,Saskatoon,Saskatchewan,Canada,2022-08-24
C00186,David Walker,Male,29,Small Business,Ottawa,Ontario,Canada,2022-12-19
C00187,Carter Walker,Non-binary,50,Consumer,Calgary,Alberta,Canada,2024-07-23
C00188,Ella Campbell,Female,18,Consumer,Winnipeg,Manitoba,Canada,2023-07-22
C00189,Julian Lee,Female,27,Small Business,Sydney,Nova Scotia,Canada,2024-04-02
C00190,Mia Evans,Male,31,Consumer,Guelph,Ontario,Canada,2023-05-15
C00191,Aria Bélanger,Female,25,Consumer,Halifax,Nova Scotia,Canada,2024-11-27
C00192,Carter Reid,Female,18,Consumer,Sydney,Nova Scotia,Canada,2024-03-23
C00193,Samuel Bernard,Non-binary,27,Consumer,Kitchener,Ontario,Canada,2022-03-11
C00194,Violet Lam,Male,23,Consumer,Kingston,Ontario,Canada,2023-02-11
C00195,Riley Côté,Male,48,Small Business,Calgary,Alberta,Canada,2024-07-30
C00196,Scarlett Wilson,Male,28,Consumer,Gatineau,Quebec,Canada,2024-08-07
C00197,Nathan Thomas,Male,55,Small Business,Vancouver,British Columbia,Canada,2024-06-19
C00198,Emma Fournier,Female,30,Consumer,Halifax,Nova Scotia,Canada,2024-11-19
C00199,Nathan Evans,Male,32,Small Business,Victoria,British Columbia,Canada,2024-10-23
C00200,Daniel Bernard,Female,36,Consumer,Montreal,Quebec,Canada,2022-11-26
C00201,Michael Lefebvre,Female,44,Consumer,Guelph,Ontario,Canada,2024-07-28
C00202,Alexander Roy,Non-binary,20,Corporate,Halifax,Nova Scotia,Canada,2024-12-12
C00203,Hannah Evans,Non-binary,38,Small Business,Richmond,British Columbia,Canada,2022-10-23
C00204,James Evans,Male,18,Consumer,Lethbridge,Alberta,Canada,2022-11-20
C00205,Mia Lam,Female,23,Consumer,St. John's,Newfoundland and Labrador,Canada,2024-02-24
C00206,Michael Taylor,Female,59,Consumer,Calgary,Alberta,Canada,2023-08-06
C00207,Aria Chen,Non-binary,24,Small Business,Gatineau,Quebec,Canada,2024-10-23
C00208,Julian Turner,Non-binary,31,Small Business,Brandon,Manitoba,Canada,2024-08-20
C00209,Evelyn Harris,Female,60,Consumer,Regina,Saskatchewan,Canada,2024-03-03
C00210,Owen Hall,Female,29,Consumer,Charlottetown,Prince Edward Island,Canada,2022-08-28
C00211,Grace Hughes,Male,43,Small Business,Moncton,New Brunswick,Canada,2022-05-30
C00212,Joseph Wong,Female,38,Consumer,Regina,Saskatchewan,Canada,2023-10-30
C00213,Ella Nguyen,Male,28,Consumer,Toronto,Ontario,Canada,2022-03-27
C00214,Carter Brown,Female,54,Corporate,Saskatoon,Saskatchewan,Canada,2024-03-04
C00215,Emma Morgan,Male,36,Consumer,Vancouver,British Columbia,Canada,2022-10-01
C00216,Lucas Evans,Non-binary,28,Consumer,Quebec City,Quebec,Canada,2023-05-03
C00217,Ethan Lefebvre,Male,53,Corporate,Richmond,British Columbia,Canada,2024-12-12
C00218,Hudson MacDonald,Female,52,Small Business,Charlottetown,Prince Edward Island,Canada,2023-04-22
C00219,Mason Bouchard,Non-binary,29,Consumer,Moncton,New Brunswick,Canada,2024-01-16
C00220,Henry Morgan,Male,49,Consumer,Winnipeg,Manitoba,Canada,2022-10-19
C00221,Alexander Thomas,Female,37,Consumer,Halifax,Nova Scotia,Canada,2023-12-26
C00222,Carter Khan,Non-binary,41,Consumer,Halifax,Nova Scotia,Canada,2024-02-07
C00223,Henry Gagnon,Non-binary,43,Consumer,Regina,Saskatchewan,Canada,2022-09-16
C00224,Aria Stewart,Non-binary,52,Consumer,Laval,Quebec,Canada,2023-11-18
C00225,Leo Wong,Non-binary,44,Small Business,Brandon,Manitoba,Canada,2022-03-06
C00226,Ella Lam,Female,43,Consumer,Gatineau,Quebec,Canada,2022-01-11
C00227,James Dubois,Non-binary,69,Small Business,Kitchener,Ontario,Canada,2024-09-23
C00228,Sofia Anderson,Male,37,Consumer,Charlottetown,Prince Edward Island,Canada,2024-03-12
C00229,Hudson Martin,Non-binary,38,Consumer,Surrey,British Columbia,Canada,2022-07-23
C00230,Zoey Miller,Male,46,Consumer,Hamilton,Ontario,Canada,2023-04-28
C00231,Chloe MacDonald,Non-binary,41,Consumer,Toronto,Ontario,Canada,2023-03-20
C00232,Olivia Lam,Male,47,Consumer,Corner Brook,Newfoundland and Labrador,Canada,2022-02-20
C00233,Leo MacDonald,Male,24,Consumer,Charlottetown,Prince Edward Island,Canada,2024-05-30
C00234,Amelia Thomas,Non-binary,41,Small Business,Victoria,British Columbia,Canada,2024-02-13
C00235,Olivia Hughes,Non-binary,45,Consumer,Montreal,Quebec,Canada,2022-05-05
C00236,Carter Singh,Non-binary,53,Small Business,Sydney,Nova Scotia,Canada,2022-01-23
C00237,Olivia Roy,Non-binary,34,Small Business,Regina,Saskatchewan,Canada,2023-07-18
C00238,Julian Stewart,Non-binary,51,Consumer,Vancouver,British Columbia,Canada,2024-06-25
C00239,Liam Roy,Non-binary,39,Consumer,Victoria,British Columbia,Canada,2024-02-26
C00240,Mason Roy,Female,45,Consumer,St. John's,Newfoundland and Labrador,Canada,2024-07-29
C00241,Charlotte Clarke,Female,46,Consumer,Corner Brook,Newfoundland and Labrador,Canada,2024-12-05
C00242,Zoey Dubois,Non-binary,41,Consumer,Winnipeg,Manitoba,Canada,2022-10-05
C00243,Hudson Bélanger,Non-binary,39,Consumer,Sydney,Nova Scotia,Canada,2023-04-12
C00244,Violet Turner,Female,39,Small Business,Moncton,New Brunswick,Canada,2024-10-04
C00245,James Johnson,Male,26,Consumer,Ottawa,Ontario,Canada,2023-08-24
C00246,Abigail Anderson,Non-binary,20,Consumer,Corner Brook,Newfoundland and Labrador,Canada,2023-07-06
C00247,Nora Stewart,Male,38,Consumer,Calgary,Alberta,Canada,2024-11-29
C00248,Owen Martin,Female,41,Consumer,Edmonton,Alberta,Canada,2023-03-12
C00249,Mason Bouchard,Female,31,Small Business,Saskatoon,Saskatchewan,Canada,2022-07-29
C00250,Michael Reid,Male,57,Consumer,St. John's,Newfoundland and Labrador,Canada,2023-11-28
C00251,Noah Miller,Non-binary,42,Consumer,Winnipeg,Manitoba,Canada,2024-11-20
C00252,Avery Evans,Non-binary,37,Consumer,Victoria,British Columbia,Canada,2022-11-26
C00253,Liam Tremblay,Female,34,Consumer,Surrey,British Columbia,Canada,2023-09-05
C00254,Charlotte Tremblay,Female,30,Consumer,Ottawa,Ontario,Canada,2022-03-22
C00255,Violet Chen,Female,25,Small Business,Saskatoon,Saskatchewan,Canada,2022-08-07
C00256,Leo Patel,Non-binary,36,Corporate,Quebec City,Quebec,Canada,2022-12-19
C00257,Amelia Lee,Female,26,Consumer,Longueuil,Quebec,Canada,2024-06-26
C00258,Carter Bernard,Male,35,Consumer,Longueuil,Quebec,Canada,2024-05-15
C00259,Amelia Bernard,Male,25,Consumer,Winnipeg,Manitoba,Canada,2024-04-30
C00260,Daniel Anderson,Male,45,Consumer,Regina,Saskatchewan,Canada,2022-04-23
C00261,Audrey Walker,Non-binary,41,Consumer,Winnipeg,Manitoba,Canada,2022-07-22
C00262,Samuel Tremblay,Male,26,Consumer,Laval,Quebec,Canada,2023-07-15
C00263,Joseph Roy,Non-binary,58,Consumer,Sherbrooke,Quebec,Canada,2022-06-09
C00264,Jack Wilson,Male,27,Consumer,Red Deer,Alberta,Canada,2023-03-10
C00265,Mateo Roy,Female,48,Consumer,Gatineau,Quebec,Canada,2023-10-25
C00266,Isaac Dubois,Male,38,Consumer,Corner Brook,Newfoundland and Labrador,Canada,2024-07-02
C00267,Nathan Wilson,Male,44,Small Business,Lethbridge,Alberta,Canada,2022-11-11
C00268,Mason Gagnon,Non-binary,43,Small Business,Fredericton,New Brunswick,Canada,2023-02-27
C00269,Aria Johnson,Non-binary,50,Consumer,Gatineau,Quebec,Canada,2023-04-29
C00270,Avery Nguyen,Male,31,Small Business,Kingston,Ontario,Canada,2022-09-08
C00271,Amelia Scott,Male,20,Consumer,St. John's,Newfoundland and Labrador,Canada,2022-07-18
C00272,Michael MacDonald,Male,40,Consumer,Charlottetown,Prince Edward Island,Canada,2022-06-12
C00273,Daniel Harris,Male,36,Consumer,Fredericton,New Brunswick,Canada,2024-11-18
C00274,Aria Bouchard,Female,26,Consumer,Winnipeg,Manitoba,Canada,2024-10-14
C00275,Ethan Campbell,Male,50,Consumer,Fort McMurray,Alberta,Canada,2024-09-09
C00276,Benjamin Khan,Male,36,Small Business,Charlottetown,Prince Edward Island,Canada,2022-03-29
C00277,Hudson Singh,Female,34,Small Business,Charlottetown,Prince Edward Island,Canada,2022-11-14
C00278,Mason Hughes,Male,43,Corporate,Winnipeg,Manitoba,Canada,2022-11-24
C00279,Mason Johnson,Female,18,Consumer,Surrey,British Columbia,Canada,2023-02-10
C00280,Hudson Scott,Male,40,Consumer,Longueuil,Quebec,Canada,2023-11-29
C00281,William Khan,Female,18,Small Business,Moncton,New Brunswick,Canada,2023-10-04
C00282,Olivia Wong,Male,37,Consumer,Corner Brook,Newfoundland and Labrador,Canada,2024-07-05
C00283,Grace Tremblay,Female,35,Consumer,Halifax,Nova Scotia,Canada,2024-11-09
C00284,Violet Hughes,Male,18,Consumer,Charlottetown,Prince Edward Island,Canada,2024-12-29
C00285,James Harris,Female,58,Consumer,Gatineau,Quebec,Canada,2024-11-21
C00286,Scarlett Bouchard,Male,40,Consumer,Gatineau,Quebec,Canada,2024-04-11
C00287,Isabella Wong,Non-binary,23,Consumer,Surrey,British Columbia,Canada,2022-01-02
C00288,Scarlett Bélanger,Male,49,Consumer,Halifax,Nova Scotia,Canada,2022-06-13
C00289,Riley Bouchard,Female,51,Consumer,Moncton,New Brunswick,Canada,2023-09-22
C00290,Liam Anderson,Non-binary,28,Consumer,Fort McMurray,Alberta,Canada,2024-05-28
C00291,Daniel Johnson,Non-binary,36,Consumer,Lethbridge,Alberta,Canada,2024-07-15
C00292,Owen Tremblay,Non-binary,51,Small Business,Regina,Saskatchewan,Canada,2022-04-17
C00293,Samuel Turner,Female,30,Corporate,Burnaby,British Columbia,Canada,2024-08-10
C00294,Owen Gagnon,Non-binary,20,Corporate,Saskatoon,Saskatchewan,Canada,2023-06-28
C00295,Henry Khan,Male,28,Consumer,Ottawa,Ontario,Canada,2022-11-01
C00296,Samuel Clarke,Non-binary,22,Consumer,Regina,Saskatchewan,Canada,2023-04-21
C00297,William MacDonald,Male,20,Small Business,St. John's,Newfoundland and Labrador,Canada,2024-10-29
